compass
mirror,
toothbrushing,
calculator simple
Calculator scientific
Calculator binary
Calculator hex
Calculator Oct
Calculator custom base
flashlight,
Count down timer
Stop watch
alarm (separate)
world clock
currency converter
weather
stocks?
saved locations?
one time use reminder+alarm
shopping list
Voice recorder
Dictionaries?
- CHN-Eng, JP,
PokéDex
Emojitionary
Tracker - haircut
Tracker - dreamlist
Chinese to Pinyin converter
Kanji to katakana
Hiragana list
Katakana list
Universities list and address
Eye exercise
Daily reminders: did I read for an hour ...
Static generator for phone calls
Clipboard - to copy commonly used phrases to send as texts - such as battery is dying
Did I already --(action)- this --(time period)- ex: did I already play video games today?
Reminder of how heavy can I lift
